id,title,hurigana
1,100%♡オレンジ,1
2,7月のサイダー,7
3,BANBANBAN,b
4,Chocolate Truffe,c
5,Cupid in Love,c
6,DEADHEAT,d
7,Dear friend,d
8,Ei-Ei-Oh!,e
9,GAMUSHARA,g
10,Memories,m
11,PaPiPoPiポップガール,p
12,SHIBUYA TSUTAYA前で待ち合わせね!,s
13,Springood!,s
14,STAR,s
15,SWEET SWEET DAYS,s
16,TRAP,t
17,愛Song!,あいそん
18,あいにきちゃった,あいに
19,雨上がり,あめあがり
20,いざ、大和撫子,いざ
21,いちず色のベンチ,いちず
22,一方通行、恋の罠,いっぽう
23,エンドレス,えん
24,お届け!デリバリースター,おとど
25,乙女のグロリアス,おとめの
26,ガンバ!!,がん
27,季節外れのときめき♡サマー,きせつは
28,キタコレ!モーニング,きた
29,きっとスタンダード,きっと
30,きみに夢中ガール,きみに
31,キャラメル,きゃら
32,ギュッと！,ぎゅ
33,ぐーすかP,ぐー
34,恋のシェイプアップ♡,こいのしぇいぷ
35,恋のジャッカル,こいのじゃっか
36,さくら燦々,さくら
37,サンタさん・・・・・がやってこない,さんた
38,ジャンケンポン,じゃん
39,人生最幸のメロディ,じんせい
40,すきっ！,すき
41,青春アンセム,せいしゅんあ
42,青春ハートシェイカー ,せいしゅんは
43,せきがえのうた,せきが
44,音速(ソニック)アドベンチャー,そにっく
45,そんな毎日,そんな
46,大事マン☆フレンズ,だいじまん
47,超ステップアップ,ちょうすて
48,超ときめき♡宣伝部のVICTORY STORY,ちょうときめき
49,トウメイ恋心(ハート),とうめい
50,トゥモロー最強説!!,とぅもろー
51,遠くであがる花火 二人ならんで見てた,とおくで
52,土っキュン♡!!少女,どっきゅ
53,どどどどどりーまー,どどどど
54,ドンウォーリー！,どんう
55,ドンフィクション,どんふ
56,なんでもいいから,なんで
57,初恋サイクリング,はつこい
58,ビッグ☆バン,びっぐ
59,ビューティー,びゅー
60,ぴょんぴょん,ぴょん
61,びりーぶ,びり
62,プリンセスプリンセスプリンセス,ぷりん
63,フレ!フレ!,ふれ
64,僕らの未来,ぼくらの
65,ホップステップジャンプLOVE,ほっぷ
66,むてきのうた,むてき
67,妄想プールデート,もうそう
68,ライオンガール,らいおん
69,ラヴなのっ♡,らぶ
70,レモンジュース,れもん
71,わがままプリンセス,わがまま
72,わたし、ナンバーワンガール!,わたし
